step	loss
0	9.487591187304963
1	8.251189559462697
2	7.70651794156877
3	6.630050054395373
4	5.121556705253103
5	4.702236728001852
6	3.78228912770608
7	2.595639254033808
8	1.3602262710436104
9	0.40751789513817094
